run,phase,step_end,phase_step_end,count,accuracy,oracle_accuracy,regret,cumulative_phase_regret
stream_A,1,1000,1000,200,0.825,0.94,23,197
stream_A,1,1200,1200,200,0.835,0.94,21,218
stream_A,1,1400,1400,200,0.86,0.98,24,242
stream_A,1,1600,1600,200,0.865,0.965,20,262
stream_A,1,1800,1800,200,0.785,0.925,28,290
stream_A,1,2000,2000,200,0.84,0.96,24,314
stream_A,1,2200,2200,200,0.85,0.96,22,336
stream_A,1,2400,2400,200,0.855,0.95,19,355
stream_A,1,2600,2600,200,0.845,0.955,22,377
stream_A,1,2800,2800,200,0.82,0.95,26,403
stream_A,1,3000,3000,200,0.86,0.94,16,419
stream_A,1,3200,3200,200,0.89,0.965,15,434
stream_A,1,3400,3400,200,0.82,0.93,22,456
stream_A,1,3600,3600,200,0.845,0.975,26,482
stream_A,1,3800,3800,200,0.86,0.955,19,501
stream_A,1,4000,4000,200,0.88,0.955,15,516
stream_A,1,4200,4200,200,0.88,0.98,20,536
stream_A,1,4400,4400,200,0.855,0.955,20,556
stream_A,1,4600,4600,200,0.84,0.95,22,578
stream_A,1,4800,4800,200,0.865,0.945,16,594
stream_A,1,5000,5000,200,0.835,0.96,25,619
stream_A,2,5200,200,200,0.82,0.925,21,21
stream_A,2,5400,400,200,0.845,0.965,24,45
stream_A,2,5600,600,200,0.87,0.985,23,68
stream_A,2,5800,800,200,0.86,0.955,19,87
stream_A,2,6000,1000,200,0.86,0.945,17,104
stream_A,2,6200,1200,200,0.835,0.94,21,125
stream_A,2,6400,1400,200,0.86,0.975,23,148
stream_A,2,6600,1600,200,0.865,0.955,18,166
stream_A,2,6800,1800,200,0.85,0.945,19,185
stream_A,2,7000,2000,200,0.855,0.965,22,207
stream_A,2,7200,2200,200,0.84,0.96,24,231
stream_A,2,7400,2400,200,0.845,0.945,20,251
stream_A,2,7600,2600,200,0.84,0.945,21,272
stream_A,2,7800,2800,200,0.855,0.935,16,288
stream_A,2,8000,3000,200,0.825,0.94,23,311
stream_A,2,8200,3200,200,0.84,0.925,17,328
stream_A,2,8400,3400,200,0.83,0.955,25,353
stream_A,2,8600,3600,200,0.865,0.93,13,366
stream_A,2,8800,3800,200,0.865,0.95,17,383
stream_A,2,9000,4000,200,0.855,0.975,24,407
stream_A,2,9200,4200,200,0.855,0.96,21,428
stream_A,2,9400,4400,200,0.825,0.935,22,450
stream_A,2,9600,4600,200,0.815,0.95,27,477
stream_A,2,9800,4800,200,0.855,0.94,17,494
stream_A,2,10000,5000,200,0.87,0.96,18,512
stream_A,3,10200,200,200,0.385,0.955,114,114
stream_A,3,10400,400,200,0.585,0.965,76,190
stream_A,3,10600,600,200,0.73,0.925,39,229
stream_A,3,10800,800,200,0.795,0.99,39,268
stream_A,3,11000,1000,200,0.82,0.965,29,297
stream_A,3,11200,1200,200,0.805,0.93,25,322
stream_A,3,11400,1400,200,0.775,0.93,31,353
stream_A,3,11600,1600,200,0.825,0.95,25,378
stream_A,3,11800,1800,200,0.8,0.935,27,405
stream_A,3,12000,2000,200,0.805,0.97,33,438
stream_A,3,12200,2200,200,0.815,0.925,22,460
stream_A,3,12400,2400,200,0.835,0.955,24,484
stream_A,3,12600,2600,200,0.865,0.965,20,504
stream_A,3,12800,2800,200,0.825,0.945,24,528
stream_A,3,13000,3000,200,0.83,0.935,21,549
stream_A,3,13200,3200,200,0.84,0.95,22,571
stream_A,3,13400,3400,200,0.81,0.925,23,594
stream_A,3,13600,3600,200,0.84,0.935,19,613
stream_A,3,13800,3800,200,0.82,0.965,29,642
stream_A,3,14000,4000,200,0.78,0.905,25,667
stream_A,3,14200,4200,200,0.835,0.935,20,687
stream_A,3,14400,4400,200,0.815,0.945,26,713
stream_A,3,14600,4600,200,0.84,0.96,24,737
stream_A,3,14800,4800,200,0.875,0.95,15,752
stream_A,3,15000,5000,200,0.845,0.965,24,776
stream_A,4,15200,200,200,0.535,0.915,76,76
stream_A,4,15400,400,200,0.79,0.97,36,112
stream_A,4,15600,600,200,0.805,0.945,28,140
stream_A,4,15800,800,200,0.855,0.96,21,161
stream_A,4,16000,1000,200,0.915,0.975,12,173
stream_A,4,16200,1200,200,0.825,0.955,26,199
stream_A,4,16400,1400,200,0.87,0.98,22,221
stream_A,4,16600,1600,200,0.815,0.93,23,244
stream_A,4,16800,1800,200,0.835,0.965,26,270
stream_A,4,17000,2000,200,0.82,0.935,23,293
stream_A,4,17200,2200,200,0.855,0.96,21,314
stream_A,4,17400,2400,200,0.845,0.95,21,335
stream_A,4,17600,2600,200,0.84,0.98,28,363
stream_A,4,17800,2800,200,0.875,0.95,15,378
stream_A,4,18000,3000,200,0.84,0.955,23,401
stream_A,4,18200,3200,200,0.865,0.955,18,419
stream_A,4,18400,3400,200,0.86,0.945,17,436
stream_A,4,18600,3600,200,0.845,0.945,20,456
stream_A,4,18800,3800,200,0.835,0.915,16,472
stream_A,4,19000,4000,200,0.78,0.905,25,497
stream_A,4,19200,4200,200,0.81,0.935,25,522
stream_A,4,19400,4400,200,0.855,0.96,21,543
stream_A,4,19600,4600,200,0.85,0.97,24,567
stream_A,4,19800,4800,200,0.815,0.945,26,593
stream_A,4,20000,5000,200,0.825,0.935,22,615
stream_replay,1,200,200,200,0.585,0.94,71,71
stream_replay,1,400,400,200,0.77,0.945,35,106
stream_replay,1,600,600,200,0.795,0.935,28,134
stream_replay,1,800,800,200,0.87,0.955,17,151
stream_replay,1,1000,1000,200,0.845,0.94,19,170
stream_replay,1,1200,1200,200,0.83,0.94,22,192
stream_replay,1,1400,1400,200,0.85,0.98,26,218
stream_replay,1,1600,1600,200,0.88,0.965,17,235
stream_replay,1,1800,1800,200,0.84,0.925,17,252
stream_replay,1,2000,2000,200,0.88,0.96,16,268
stream_replay,1,2200,2200,200,0.875,0.96,17,285
stream_replay,1,2400,2400,200,0.865,0.95,17,302
stream_replay,1,2600,2600,200,0.85,0.955,21,323
stream_replay,1,2800,2800,200,0.85,0.95,20,343
stream_replay,1,3000,3000,200,0.81,0.94,26,369
stream_replay,1,3200,3200,200,0.89,0.965,15,384
stream_replay,1,3400,3400,200,0.81,0.93,24,408
stream_replay,1,3600,3600,200,0.8,0.975,35,443
stream_replay,1,3800,3800,200,0.83,0.955,25,468
stream_replay,1,4000,4000,200,0.825,0.955,26,494
stream_replay,1,4200,4200,200,0.85,0.98,26,520
stream_replay,1,4400,4400,200,0.845,0.955,22,542
stream_replay,1,4600,4600,200,0.885,0.95,13,555
stream_replay,1,4800,4800,200,0.82,0.945,25,580
stream_replay,1,5000,5000,200,0.83,0.96,26,606
stream_replay,2,5200,200,200,0.76,0.925,33,33
stream_replay,2,5400,400,200,0.825,0.965,28,61
stream_replay,2,5600,600,200,0.83,0.985,31,92
stream_replay,2,5800,800,200,0.81,0.955,29,121
stream_replay,2,6000,1000,200,0.825,0.945,24,145
stream_replay,2,6200,1200,200,0.78,0.94,32,177
stream_replay,2,6400,1400,200,0.805,0.975,34,211
stream_replay,2,6600,1600,200,0.805,0.955,30,241
stream_replay,2,6800,1800,200,0.795,0.945,30,271
stream_replay,2,7000,2000,200,0.81,0.965,31,302
stream_replay,2,7200,2200,200,0.805,0.96,31,333
stream_replay,2,7400,2400,200,0.81,0.945,27,360
stream_replay,2,7600,2600,200,0.845,0.945,20,380
stream_replay,2,7800,2800,200,0.79,0.935,29,409
stream_replay,2,8000,3000,200,0.81,0.94,26,435
stream_replay,2,8200,3200,200,0.805,0.925,24,459
stream_replay,2,8400,3400,200,0.81,0.955,29,488
stream_replay,2,8600,3600,200,0.82,0.93,22,510
stream_replay,2,8800,3800,200,0.825,0.95,25,535
stream_replay,2,9000,4000,200,0.815,0.975,32,567
stream_replay,2,9200,4200,200,0.79,0.96,34,601
stream_replay,2,9400,4400,200,0.825,0.935,22,623
stream_replay,2,9600,4600,200,0.83,0.95,24,647
stream_replay,2,9800,4800,200,0.79,0.94,30,677
stream_replay,2,10000,5000,200,0.78,0.96,36,713
stream_replay,3,10200,200,200,0.34,0.955,123,123
stream_replay,3,10400,400,200,0.45,0.965,103,226
stream_replay,3,10600,600,200,0.635,0.925,58,284
stream_replay,3,10800,800,200,0.66,0.99,66,350
stream_replay,3,11000,1000,200,0.695,0.965,54,404
stream_replay,3,11200,1200,200,0.65,0.93,56,460
stream_replay,3,11400,1400,200,0.655,0.93,55,515
stream_replay,3,11600,1600,200,0.725,0.95,45,560
stream_replay,3,11800,1800,200,0.685,0.935,50,610
stream_replay,3,12000,2000,200,0.695,0.97,55,665
stream_replay,3,12200,2200,200,0.715,0.925,42,707
stream_replay,3,12400,2400,200,0.74,0.955,43,750
stream_replay,3,12600,2600,200,0.76,0.965,41,791
stream_replay,3,12800,2800,200,0.815,0.945,26,817
stream_replay,3,13000,3000,200,0.73,0.935,41,858
stream_replay,3,13200,3200,200,0.725,0.95,45,903
stream_replay,3,13400,3400,200,0.7,0.925,45,948
stream_replay,3,13600,3600,200,0.705,0.935,46,994
stream_replay,3,13800,3800,200,0.74,0.965,45,1039
stream_replay,3,14000,4000,200,0.73,0.905,35,1074
stream_replay,3,14200,4200,200,0.795,0.935,28,1102
stream_replay,3,14400,4400,200,0.73,0.945,43,1145
stream_replay,3,14600,4600,200,0.79,0.96,34,1179
stream_replay,3,14800,4800,200,0.8,0.95,30,1209
stream_replay,3,15000,5000,200,0.745,0.965,44,1253
stream_replay,4,15200,200,200,0.68,0.915,47,47
stream_replay,4,15400,400,200,0.835,0.97,27,74
stream_replay,4,15600,600,200,0.785,0.945,32,106
stream_replay,4,15800,800,200,0.78,0.96,36,142
stream_replay,4,16000,1000,200,0.87,0.975,21,163
stream_replay,4,16200,1200,200,0.805,0.955,30,193
stream_replay,4,16400,1400,200,0.815,0.98,33,226
stream_replay,4,16600,1600,200,0.76,0.93,34,260
stream_replay,4,16800,1800,200,0.76,0.965,41,301
stream_replay,4,17000,2000,200,0.75,0.935,37,338
stream_replay,4,17200,2200,200,0.765,0.96,39,377
stream_replay,4,17400,2400,200,0.78,0.95,34,411
stream_replay,4,17600,2600,200,0.81,0.98,34,445
stream_replay,4,17800,2800,200,0.82,0.95,26,471
stream_replay,4,18000,3000,200,0.79,0.955,33,504
stream_replay,4,18200,3200,200,0.835,0.955,24,528
stream_replay,4,18400,3400,200,0.825,0.945,24,552
stream_replay,4,18600,3600,200,0.78,0.945,33,585
stream_replay,4,18800,3800,200,0.76,0.915,31,616
stream_replay,4,19000,4000,200,0.74,0.905,33,649
stream_replay,4,19200,4200,200,0.765,0.935,34,683
stream_replay,4,19400,4400,200,0.815,0.96,29,712
stream_replay,4,19600,4600,200,0.85,0.97,24,736
stream_replay,4,19800,4800,200,0.77,0.945,35,771
stream_replay,4,20000,5000,200,0.785,0.935,30,801
